"MAC Address","IP Address",Hostname,"Local DNS Record","Lease Type",Name,"Expiration Time"
"0c:95:05:69:05:58","192.168.1.82","MyQ-CB9",,Dynamic,"MyQ-CB9 05:58","2025-12-31T09:13:33.000-05:00"
"14:3f:c3:08:b2:97","192.168.1.32",WattBox,,Dynamic,"WattBox b2:97","2025-12-31T09:10:02.000-05:00"
"18:b4:30:b6:af:29","192.168.1.175",,,Dynamic,"Nest Protect af:29","2025-12-31T09:09:11.000-05:00"
"18:b4:30:b7:18:8e","192.168.1.106",,,Dynamic,"Nest Protect 18:8e","2025-12-31T09:10:03.000-05:00"
"18:b4:30:f9:4f:8a","192.168.1.139","Nest-Connect-4F8A",,Dynamic,"Nest-Connect-4F8A 4f:8a","2025-12-31T09:11:52.000-05:00"
"1c:b3:c9:2a:51:42","192.168.1.187",EntertamentRoom,,Dynamic,"EntertamentRoom 51:42","2025-12-31T09:12:09.000-05:00"
"22:7a:df:d7:05:2d","192.168.1.188",Mac,,Dynamic,"Mac 05:2d","2025-12-31T09:11:29.000-05:00"
"34:7e:5c:70:3a:fe","192.168.1.92",SonosZP,,Dynamic,"SonosZP 3a:fe","2025-12-31T09:12:47.000-05:00"
"40:cb:c0:ed:5c:54","192.168.1.38","Living-Room",,Dynamic,"Living-Room 5c:54","2025-12-31T09:13:44.000-05:00"
"5c:aa:fd:57:ff:42","192.168.1.133",SonosZP,,Dynamic,"SonosZP ff:42","2025-12-31T09:13:55.000-05:00"
"5c:aa:fd:5e:54:34","192.168.1.51",SonosZP,,Dynamic,"SonosZP 54:34","2025-12-31T09:10:13.000-05:00"
"5c:aa:fd:e3:f2:b4","192.168.1.61",SonosZP,,Dynamic,"SonosZP f2:b4","2025-12-31T09:11:34.000-05:00"
"5c:aa:fd:e3:f3:24","192.168.1.65",SonosZP,,Dynamic,"SonosZP f3:24","2025-12-31T09:13:07.000-05:00"
"5c:aa:fd:e9:68:f2","192.168.1.140",SonosZP,,Dynamic,"SonosZP 68:f2","2025-12-31T09:13:50.000-05:00"
"5e:f9:4a:81:ca:02","192.168.1.120",iPhone,,Dynamic,"iPhone ca:02","2025-12-31T09:12:15.000-05:00"
"60:3e:5f:37:de:97","192.168.1.147","MacBook-Pro-58",,Dynamic,"MacBook-Pro-58 de:97","2025-12-31T09:13:00.000-05:00"
"64:16:66:c9:bf:bc","192.168.1.90","garmin-Edge-1030-Plus-0df2c7a09530",,Dynamic,"garmin-Edge-1030-Plus-0df2c7a09530 bf:bc","2025-12-31T09:11:41.000-05:00"
"64:16:66:c9:ce:14","192.168.1.57",EntertamentRoom,,Dynamic,"EntertamentRoom ce:14","2025-12-31T09:10:25.000-05:00"
"64:16:66:c9:d4:df","192.168.1.104",,,Dynamic,"Nest Protect d4:df","2025-12-31T09:11:05.000-05:00"
"64:16:66:c9:d5:30","192.168.1.78",iPhone,,Dynamic,"iPhone d5:30","2025-12-31T09:09:31.000-05:00"
"64:4b:f0:4a:6e:1b","192.168.1.93","ROBERTs-MBP",,Dynamic,"ROBERTs-MBP 6e:1b","2025-12-31T09:13:02.000-05:00"
"64:52:99:9e:33:1e","192.168.1.79","MyQ-02F",,Dynamic,"MyQ-02F 33:1e","2025-12-31T09:11:22.000-05:00"
"64:b7:08:61:b6:50","192.168.1.145","wled-WLED",,Dynamic,"wled-WLED b6:50","2025-12-31T09:12:41.000-05:00"
"66:59:df:be:1a:2a","192.168.1.170",iPad,,Dynamic,"iPad 1a:2a","2025-12-31T09:10:51.000-05:00"
"68:47:49:58:7c:6c","192.168.1.80","Lutron-067fdaf8",,Dynamic,"Lutron-067fdaf8 7c:6c","2025-12-31T09:10:06.000-05:00"
"68:b6:91:74:52:8d","192.168.1.73",iPad,,Dynamic,"iPad 52:8d","2025-12-31T09:13:10.000-05:00"
"90:09:d0:36:13:79","192.168.1.221","nc-tay-h1-fs-02.local","nc-tay-h1-fs-02.local",Fixed,"nc-tay-h1-fs-02","1969-12-31T19:00:00.000-05:00"
"90:09:d0:92:ba:f9","192.168.1.220","nc-tay-h1-fs-01","nc-tay-h1-fs-01.local",Fixed,"nc-tay-h1-fs-01 ba:f9","1969-12-31T19:00:00.000-05:00"
"94:2a:6f:2c:d6:3d","192.168.1.66",,,Dynamic,"Upstairs Hallway","2025-12-31T09:13:45.000-05:00"
"94:2a:6f:2c:d7:37","192.168.1.67",,,Dynamic,"Downstairs Closet","2025-12-31T09:09:21.000-05:00"
"94:9f:3e:24:5a:18","192.168.1.43",SonosZP,,Dynamic,"SonosZP 5a:18","2025-12-31T09:11:59.000-05:00"
"9c:05:d6:da:ee:1c","192.168.1.77",,,Dynamic,"Hallway Closet","2025-12-31T09:11:59.000-05:00"
"9e:7e:54:75:f7:a5","192.168.1.105",iPhone,,Dynamic,"iPhone f7:a5","2025-12-31T09:11:52.000-05:00"
"b0:41:6f:14:9d:c4","192.168.1.155",beelink,"beelink.local",Fixed,"beelink 9d:c4","1969-12-31T19:00:00.000-05:00"
"bc:e9:2f:c1:bc:4d","192.168.1.182",HPC1BC4C,,Dynamic,"HPC1BC4C bc:4d","2025-12-31T09:10:22.000-05:00"
"c6:78:2f:50:e9:37","192.168.1.72",iPhone,,Dynamic,"iPhone e9:37","2025-12-31T09:10:54.000-05:00"
"ca:7c:c8:c0:5c:bb","192.168.1.81",iPad,,Dynamic,"iPad 5c:bb","2025-12-31T09:09:04.000-05:00"
"d8:b3:70:dc:11:b3","192.168.1.171",,,Dynamic,"USW Lite 8 PoE","2025-12-31T09:10:57.000-05:00"
"d8:b3:70:dc:40:71","192.168.1.108",,,Dynamic,"Primary Bedroom Closet","2025-12-31T09:11:10.000-05:00"
"dc:56:e7:33:26:1b","192.168.1.169","Office-4k",,Dynamic,"Office-4k 26:1b","2025-12-31T09:13:14.000-05:00"
"ec:b5:fa:9d:36:34","192.168.1.42",ecb5fa9d3634,,Dynamic,"ecb5fa9d3634 36:34","2025-12-31T09:09:29.000-05:00"
"f4:e2:c6:59:12:b4","192.168.1.33",,,Dynamic,"Attic Switch","2025-12-31T09:13:29.000-05:00"
"f4:e2:c6:59:49:76","192.168.1.116",Office,,Dynamic,"USW Flex Mini","2025-12-31T09:13:36.000-05:00"
"f4:e2:c6:70:85:4b","192.168.1.50","front-door",,Dynamic,"Front Door","2025-12-31T09:09:38.000-05:00"
"f4:e2:c6:df:6c:7c","192.168.1.154","UFP-Viewport-6c7c",,Dynamic,"UP Viewport","2025-12-31T09:10:20.000-05:00"
